Channel,delta,theta,alpha,beta,gamma,max_energy_band,Frontal Lobe,Temporal Lobe,Parietal Lobe,Occipital Lobe,Central Region
P2,1.6197814184701028e-11,6.2672627972715024e-12,1.9941637377628965e-11,3.569860810050715e-11,1.760800702975096e-11,beta,0,0,1,0,0
Cpz,1.193762220509872e-12,2.9608855409619473e-13,2.9350679596827646e-13,8.807172737718943e-13,7.547389006951781e-13,delta,0,0,1,0,1
Cp4,9.857686446997473e-12,4.3862770588239444e-12,1.1854258936335428e-11,1.6388515763113468e-11,7.423812525370472e-12,beta,0,0,1,0,1
Tp8,6.951909437260021e-11,2.0654466666440757e-11,4.72495317316276e-11,6.880452145145966e-11,3.4171365115481085e-11,delta,0,1,1,0,0
C6,3.424447356376472e-11,1.3006221560049515e-11,3.5527057078870766e-11,5.839562610764195e-11,5.249976987961594e-11,beta,0,0,0,0,1
C2,2.0463253352433244e-11,4.2870029573268515e-12,9.55304424448714e-12,1.431149647998945e-11,7.46846967733721e-12,delta,0,0,0,0,1
Fc4,9.17155380360706e-11,1.5573305082303126e-11,2.9667614766304583e-11,5.5019534794481966e-11,4.260273306375884e-11,delta,1,0,0,0,1
Ft8,6.008894195966238e-11,1.9461821925984956e-11,4.92944874586927e-11,9.103659668606254e-11,7.34728719497644e-11,beta,1,1,0,0,0
F6,2.865109423736458e-10,3.698665373450262e-11,4.7529674196665224e-11,1.2874357751212957e-10,1.4514910209320503e-10,delta,1,0,0,0,0
Af8,1.0854394835903887e-09,1.2735311709650426e-10,7.737169774224005e-11,2.6647561488669446e-10,3.675390035395854e-10,delta,1,0,0,0,0
Af4,8.642783328910562e-10,9.49200191537619e-11,5.200269089414544e-11,1.409690243249479e-10,1.9059786314044147e-10,delta,1,0,0,0,0
F2,2.844991201236935e-10,3.4867562111168104e-11,3.550758239432839e-11,7.48043117053083e-11,7.03765029349934e-11,delta,1,0,0,0,0
Fcz,8.370580352731757e-11,1.2559373490772191e-11,2.0827965365957533e-11,3.564303679199596e-11,2.0490429646266306e-11,delta,1,0,0,0,1
